[RUN] AUH_HepG2_20260706-193105
[DIR] logs=results/logs model=results/model metrics=results/metrics
[CFG] results/logs/AUH_HepG2_20260706-193105_config.json
AUH_HepG2 	 Train Epoch: 69     avg.loss: 0.0144 Acc: 1.00%, AUC: 0.9999, PRC: 0.9999, MCC: 0.9915, lr: 0.000524
AUH_HepG2 	 Test  Epoch: 69     avg.loss: 2.4346 Acc: 0.83%, AUC: 0.8957 (0.8961), PRC: 0.8283, MCC: 0.5988, 62
AUH_HepG2 	 Train Epoch: 70     avg.loss: 0.0201 Acc: 0.99%, AUC: 1.0000, PRC: 0.9999, MCC: 0.9875, lr: 0.000419
AUH_HepG2 	 Test  Epoch: 70     avg.loss: 2.8971 Acc: 0.82%, AUC: 0.8924 (0.8961), PRC: 0.8273, MCC: 0.5934, 62
AUH_HepG2 	 Train Epoch: 71     avg.loss: 0.0088 Acc: 1.00%, AUC: 1.0000, PRC: 1.0000, MCC: 0.9952, lr: 0.000419
AUH_HepG2 	 Test  Epoch: 71     avg.loss: 2.9003 Acc: 0.82%, AUC: 0.8943 (0.8961), PRC: 0.8284, MCC: 0.5749, 62
AUH_HepG2 	 Train Epoch: 72     avg.loss: 0.0099 Acc: 1.00%, AUC: 1.0000, PRC: 0.9999, MCC: 0.9931, lr: 0.000419
AUH_HepG2 	 Test  Epoch: 72     avg.loss: 2.8932 Acc: 0.82%, AUC: 0.8907 (0.8961), PRC: 0.8201, MCC: 0.5835, 62
AUH_HepG2 	 Train Epoch: 73     avg.loss: 0.0125 Acc: 1.00%, AUC: 1.0000, PRC: 1.0000, MCC: 0.9944, lr: 0.000419
AUH_HepG2 	 Test  Epoch: 73     avg.loss: 2.6045 Acc: 0.82%, AUC: 0.8942 (0.8961), PRC: 0.8281, MCC: 0.5887, 62
AUH_HepG2 	 Train Epoch: 74     avg.loss: 0.0162 Acc: 1.00%, AUC: 1.0000, PRC: 0.9999, MCC: 0.9905, lr: 0.000419
AUH_HepG2 	 Test  Epoch: 74     avg.loss: 2.3253 Acc: 0.83%, AUC: 0.8914 (0.8961), PRC: 0.8231, MCC: 0.5936, 62
AUH_HepG2 	 Train Epoch: 75     avg.loss: 0.0118 Acc: 1.00%, AUC: 1.0000, PRC: 1.0000, MCC: 0.9922, lr: 0.000336
AUH_HepG2 	 Test  Epoch: 75     avg.loss: 3.5488 Acc: 0.81%, AUC: 0.8938 (0.8961), PRC: 0.8248, MCC: 0.5509, 62
AUH_HepG2 	 Train Epoch: 76     avg.loss: 0.0112 Acc: 1.00%, AUC: 1.0000, PRC: 1.0000, MCC: 0.9941, lr: 0.000336
AUH_HepG2 	 Test  Epoch: 76     avg.loss: 3.7957 Acc: 0.80%, AUC: 0.8953 (0.8961), PRC: 0.8289, MCC: 0.5285, 62
AUH_HepG2 	 Train Epoch: 77     avg.loss: 0.0073 Acc: 1.00%, AUC: 1.0000, PRC: 0.9999, MCC: 0.9953, lr: 0.000336
AUH_HepG2 	 Test  Epoch: 77     avg.loss: 3.0407 Acc: 0.81%, AUC: 0.8959 (0.8961), PRC: 0.8309, MCC: 0.5627, 62
AUH_HepG2 	 Train Epoch: 78     avg.loss: 0.0085 Acc: 1.00%, AUC: 1.0000, PRC: 1.0000, MCC: 0.9949, lr: 0.000336
AUH_HepG2 	 Test  Epoch: 78     avg.loss: 2.9921 Acc: 0.82%, AUC: 0.8910 (0.8961), PRC: 0.8274, MCC: 0.5852, 62
AUH_HepG2 	 Train Epoch: 79     avg.loss: 0.0079 Acc: 1.00%, AUC: 1.0000, PRC: 1.0000, MCC: 0.9958, lr: 0.000336
AUH_HepG2 	 Test  Epoch: 79     avg.loss: 2.9686 Acc: 0.82%, AUC: 0.8939 (0.8961), PRC: 0.8288, MCC: 0.5909, 62
AUH_HepG2 	 Train Epoch: 80     avg.loss: 0.0093 Acc: 1.00%, AUC: 1.0000, PRC: 1.0000, MCC: 0.9935, lr: 0.000268
AUH_HepG2 	 Test  Epoch: 80     avg.loss: 2.9730 Acc: 0.82%, AUC: 0.8950 (0.8961), PRC: 0.8282, MCC: 0.5919, 62
AUH_HepG2 	 Train Epoch: 81     avg.loss: 0.0051 Acc: 1.00%, AUC: 1.0000, PRC: 1.0000, MCC: 0.9973, lr: 0.000268
AUH_HepG2 	 Test  Epoch: 81     avg.loss: 3.6520 Acc: 0.81%, AUC: 0.8954 (0.8961), PRC: 0.8293, MCC: 0.5647, 62
AUH_HepG2 	 Train Epoch: 82     avg.loss: 0.0068 Acc: 1.00%, AUC: 1.0000, PRC: 1.0000, MCC: 0.9964, lr: 0.000268
AUH_HepG2 	 Test  Epoch: 82     avg.loss: 3.2312 Acc: 0.82%, AUC: 0.8950 (0.8961), PRC: 0.8273, MCC: 0.5789, 62
AUH_HepG2 best: auc=0.8961 acc=0.8113 prc=0.8302 mcc=0.5646 (epoch=62)
[BEST] results/metrics/AUH_HepG2_20260706-193105_best.json
